Gene,Importance
ITGA6,0.05991161889610065
CLSTN2,0.05286278963211435
SH3TC2,0.022670294651374486
ETV4,0.01124191823175629
MED29,0.010049934237698637
DIP2C,0.007858895890365713
TIGD7,0.00764207128809299
SPRY4,0.007599221476803665
RASL10B,0.00747770301999573
DUSP6,0.006985297389814751
UBFD1,0.006959541820845016
ANXA2R,0.0068168465506080606
LYSMD1,0.006161594080142812
GADD45G,0.005997392818643549
DNAH10OS,0.00597209110139725
ZNF730,0.005736004125665049
PTOV1,0.0056304278138326926
CCDC127,0.005446656172302246
SYNC,0.005328825988346394
GPR156,0.005304708059292034
DNAJB4,0.005286998238249718
ZNF248,0.0050063811412039
FOSL1,0.004575822976437667
TMEM25,0.004243081732870449
UCHL1,0.004231457694827885
KIAA0319,0.004149133121364963
FRS2,0.004136710740519126
PHLDA1,0.004065686877879981
PTPRH,0.004057282207330657
ZNF93,0.004044863967164588
TAOK2,0.004033780268908911
ZNF347,0.003971514077941638
ANKS3,0.003949130098739197
MBP,0.003914245710710242
LSM14A,0.0037268184164403616
RNF115,0.003656109583806001
PRSS3,0.0035694178572543613
DLG2,0.0035433425074425807
EMP1,0.0035177791155141715
ARHGAP44,0.003492672222180176
WDR24,0.0034915738228412144
STAU2,0.003453450960155188
ERCC4,0.003413487002630013
GDF15,0.0033653219445703014
ZSWIM9,0.003321220751446728
FAM110B,0.003315013456461233
GEMIN2,0.0032701244515648464
GPR137C,0.0032660353783570966
FECH,0.0032570779461477887
ANKRD13C,0.0031767208719768914
ZFP3,0.0031723059499595006
FMN1,0.00315988998330921
GKAP1,0.0031538443764266913
ARNT,0.0031352465351522922
JADE1,0.0031316070960612013
GOLM2,0.003059590410277179
EML1,0.003024337083084575
BBOF1,0.003014437263825078
RNF40,0.0029046979872949844
FLYWCH2,0.0029002438471200723
C16orf87,0.0028943862933068407
DNAAF8,0.0028556791446175817
QRICH2,0.002850788357981624
ETHE1,0.002848296000974433
EFHD1,0.0028365524386985397
MGA,0.00283526512796245
MAP3K2,0.0028337741205085617
ZNF667,0.0028295638331907852
CCDC117,0.0028291321619351314
TSPYL5,0.002818331134764303
ZNF736,0.0028121371650123564
FANCC,0.0028029743681129825
TMEM170B,0.002771079142983075
CMTM7,0.002720947484225041
SNAP47,0.0027122407308128827
ZFP30,0.0026994417881239597
GINM1,0.002666767961737576
TMEM178B,0.002651574771385999
SUSD4,0.0026317167920116183
RHBDL3,0.0026277227809335412
CAND2,0.0026218192957561427
SMARCC2,0.002593669555164006
GSTO1,0.002583087295942285
PRSS33,0.0025793346828981026
PLEKHG4B,0.0025548475342054154
VASN,0.00255382301055129
ZNF519,0.002538715822601874
NUDT16L1,0.0025203529791424013
TAF9B,0.0025163670935077556
ZNF677,0.0025066993558638924
CASTOR2,0.002506315267789385
GPR173,0.0025048138069348035
IER3,0.002494434059998924
MAFF,0.002478470217588203
RAP2B,0.0024776356353724753
LMBRD2,0.002429114763751002
KCNN4,0.0024272260308220266
TECTA,0.002418757684613602
NXPE3,0.0023963446660603955
MAGED1,0.0023874682591333873
ARHGAP35,0.0023822218603508213
ZNF260,0.0023522227611425927
ZNF253,0.00234616475531374
ZNF354C,0.0023259838695586553
HSD17B6,0.0023079475834940064
PHF13,0.0023020577869156547
CCDC142,0.0022972061991723683
MAPK9,0.002277887494581945
NUBP2,0.002275125669866921
TCN1,0.002270353721050183
CPLANE1,0.0022676259170045796
ARID4B,0.0022676091491657573
SNAPIN,0.0022632776721056916
CPE,0.0022492447187678925
FBXO21,0.0022400180047910563
FNDC5,0.0022153471737153124
SAMD11,0.002165651707113158
SMIM17,0.0021632280158900585
MELTF,0.002151033796351974
NEURL1B,0.0021378953178415416
CITED2,0.0021349880018656626
ZNF33A,0.0021190382500596303
TBC1D10B,0.00211711268276155
FXYD5,0.0021138810381073703
ZNF682,0.0020932534988315765
NPAS2,0.0020918808656446193
GJB1,0.00208762054711595
BARD1,0.002086888158204821
VPS45,0.002076549926803649
CXCL12,0.002068385015882835
ARL3,0.0020609341126373816
BEND6,0.0020463163156649055
AR,0.002044321990736858
ZNF48,0.0020365856463257707
KIF1B,0.002032566735584945
RWDD2A,0.002030214775785534
LHX2,0.002027844680352629
ZNF346,0.002024082934766075
ZNF892,0.0020237029719151816
NELL2,0.002013498798035907
TMSB15C,0.0019998905110151025
ATP10B,0.0019973765266979673
REEP1,0.001994421283718834
SDC2,0.0019892475622947793
SETBP1,0.0019875144688550495
PCDH1,0.001973645077015758
ZNF273,0.0019547257504072776
ZNF540,0.0019349120689781858
NEXMIF,0.0019147261932868156
SLC37A2,0.0019072381357396544
SMAD9,0.0019054880635789842
ZNF607,0.0019020576956157035
EREG,0.0018964860548885216
OSBPL3,0.0018843384456417595
CEACAM1,0.0018626463849632897
KPNA5,0.0018580853475048406
PLXDC1,0.0018557097857709866
PDE6B,0.0018450831072076854
MYO9A,0.0018436268402239125
ZNF606,0.0018300101911458502
SIX5,0.0018186882065778715
MFAP4,0.0018125551913270757
ZNF680,0.0018064656924978368
CAPN7,0.0018056738086294107
DNASE1,0.0018028878686349068
RHOT1,0.001797895092766084
KAT7,0.0017970967538283198
BRPF3,0.0017950722642500266
SLC12A5,0.0017946371694735122
FAM168A,0.0017901818222044233
SLC26A11,0.0017780118225353056
HMGA1,0.001774520289585647
TATDN2,0.001770776662067728
CYP46A1,0.0017660766119109881
ALDH1A3,0.0017464658661508101
PIAS3,0.001745944044718665
RLBP1,0.001745737468846666
PRRT3,0.001745428977083616
ZC3H10,0.0017359297315813632
IFT122,0.001720349433577576
USP13,0.0017189074422051655
KAT6B,0.0017122920863952371
PHF21A,0.0017046982980997833
SPTBN4,0.0017022410992955771
PALM,0.0016995529467249324
TTC33,0.0016973860946110696
HECTD4,0.0016842056793934027
S100PBP,0.0016750321989291977
GNMT,0.0016714112355888672
PBX1,0.0016658753796192655
TMEM65,0.0016641976275824902
ZNF678,0.0016461889306270503
RAB38,0.0016440306298503024
ITGA2,0.0016417984138617926
ADAMTS2,0.001631100665852782
INSYN1,0.0016276918082390789
RSPH14,0.001624635840815075
SAC3D1,0.0016238140837342976
RTF1,0.0015922821822846143
RIT1,0.0015892541906306916
GRK4,0.0015833741431185422
SEMA5B,0.001573428230287018
MXD3,0.0015726484765490347
ZNF737,0.001571288367483269
MTCL2,0.0015708997239017844
ZNF250,0.001563591336596603
FERMT1,0.0015633024624597633
ADCY5,0.0015379728974541998
PXMP2,0.0015356715332812958
CEP89,0.0015305148306117762
RAB33B,0.0015251624200944354
SOX12,0.0015226348201005382
TNFRSF14,0.0015189059159217355
ZNF853,0.0015151213674638908
ZFP82,0.0015100764591578152
ZNF708,0.0015099729711893378
ZBTB22,0.0015077184387231688
GPR89A,0.0015030505287810256
AREG,0.0015021425026131884
FBXO36,0.0015008989429675943
ZNF594,0.0014996651793070023
TLCD5,0.0014979876270023846
ZNF71,0.0014935517610062197
ANO1,0.0014884458107254747
MYEF2,0.0014791555218519514
TCERG1L,0.0014679975351782005
TSC2,0.0014582005107549127
EIF4ENIF1,0.0014532776891949986
USP30,0.001450842285823529
GSTA4,0.0014438106403805756
SCML2,0.0014417742157418147
AKAP5,0.001433445800939771
AS3MT,0.0014311440469713835
LDOC1,0.001428126334031326
ZSCAN18,0.0014272085609569056
CAMK1D,0.001425679807169532
MAML1,0.0014196795264684848
ZNF75A,0.0014154095215197701
SPRR2D,0.0013980195054831693
INTS3,0.0013963017839911823
PRRC2B,0.0013932915454823783
RBSN,0.0013912766437024961
CBX1,0.0013868766590415756
DMAP1,0.0013673501972299147
BLOC1S5,0.001364035576981607
PPOX,0.001357847283882077
TBC1D24,0.0013486033861896329
ARHGAP33,0.0013468806078508592
ZNF135,0.0013468564740175602
DXO,0.0013463099704126725
TSPYL4,0.0013444914974217203
MLLT11,0.0013432230969703327
ZNF565,0.001339185117254542
STXBP4,0.0013276001098458188
UBQLN2,0.0013218284852436388
NREP,0.0013196372045624202
UNKL,0.0013179527764712552
NBPF1,0.0013163151354739042
C1QL1,0.0013098532381306972
SLC35E2B,0.0012987307773175397
KRBA1,0.0012923285222347768
PIK3R3,0.0012911342404281314
COL17A1,0.001286743943982428
TAB2,0.0012852017529881004
OSBPL11,0.0012851122531959132
GUCY1B1,0.001280078194058771
KLHDC3,0.0012770661732509818
GTF3C1,0.0012759055277215996
FAM120C,0.0012747969312928993
THAP8,0.0012726556164717798
GSE1,0.0012696555971566754
KATNAL2,0.0012666394049189356
ATP6V1G2,0.0012593308283746802
ANKRD52,0.0012575033855499566
SIRT1,0.0012552155702498793
ZNF500,0.0012535886464840513
ZNF181,0.0012507471848360885
ZNF444,0.0012444727298861371
IRAK1BP1,0.0012422268426266387
THTPA,0.001242135967646732
TCF4,0.0012403850284338365
NOVA1,0.001239140696302587
ZNF263,0.001212743611985292
ZNF483,0.0012108838905459873
NBPF12,0.0012075593041675045
PCSK1N,0.0012063788856094253
PRUNE1,0.0012019542551850338
POGK,0.0012005197563215195
ZNF879,0.00118949068693882
MEX3B,0.001189025288790125
TGFB3,0.0011812891587427983
ZNF610,0.0011784210581330314
SP4,0.0011773305044283785
SEC61A2,0.0011696722900473666
RNF187,0.0011693569527583734
HSF2,0.0011554914282867336
BTF3L4,0.0011537019235012542
TTLL7,0.0011516408545425613
USP49,0.0011511882674889462
C5orf34,0.0011496939884995427
ZNF304,0.0011426272943430434
ZNF844,0.0011424769372952355
CACFD1,0.001136765512691978
MTNAP1,0.0011341983934976562
HS3ST1,0.001132774447502214
RARS2,0.0011317860837286658
PYGO2,0.0011297237640857168
VCF2,0.0011295349487768114
CCDC74B,0.001127572226728214
NIPAL1,0.0011271161576983085
ASF1A,0.0011237129054879273
ZNF764,0.0011210973812329846
METTL22,0.0011201721478462199
ZNF184,0.0011181583072673344
ZNF470,0.0011173797421551782
FOXO6,0.0011173408883283307
INPP4B,0.001112777593276598
DPYSL5,0.0011120898766305187
SRP9,0.0011118840703269461
ZNF709,0.0011113264026555891
RUFY3,0.0011044506609023006
CSTPP1,0.0011012893640851818
SCMH1,0.0010976928985763832
TNRC6C,0.0010976450859376322
DOK6,0.001092962301455556
HCFC2,0.0010907795361571467
PRCC,0.0010854415036393036
ERI3,0.0010839571715423066
DCLRE1B,0.001073436476051034
ZNF382,0.0010720956366189445
MAPT,0.0010716707814067503
FAM156A,0.0010664271612550163
NSL1,0.0010656033458818425
ULK1,0.0010505529266876014
FAM220A,0.0010492859595476482
ZBTB5,0.0010477224804395604
TXNDC16,0.0010451732360551695
BRINP1,0.001044654141283246
C14orf132,0.001043525085439453
IQCC,0.0010378645220547986
PRR36,0.0010361668454334904
APLP1,0.0010356086343244106
DIXDC1,0.0010289203406126284
PIP4K2B,0.001027117419104342
ASH1L,0.0010177919703937765
ZNF669,0.0010158348363538655
SPEG,0.0010144668749901128
MRGPRX4,0.0010137374343316993
DCAKD,0.0010058403145942604
WDR7,0.0010037104911188514
GNAZ,0.0010013825991274567
TRIM45,0.0009981090864459906
ALMS1,0.000996468247905001
ZNF497,0.0009919212756351631
IL1A,0.0009918038229868574
RBM4B,0.0009909463456239953
FTO,0.0009881389213495183
ZNF724,0.000987639667107563
CCP110,0.0009840389974623926
GALNT16,0.0009823757507798018
NCOA1,0.0009761259746426605
ARL14,0.0009733993765487678
SBK1,0.0009678344718623307
KRBA2,0.0009672014305802768
EPS15L1,0.000967032624355935
RRAGB,0.0009619277005274206
IPO13,0.0009569540928446099
MEAF6,0.0009548210833118192
MYEOV,0.0009547355601613749
THAP9,0.0009468227377880163
NFYB,0.0009442588094449566
ZFHX2,0.0009397652806285691
APPBP2,0.0009392665533671767
THAP3,0.000933100784801308
RND2,0.0009328737801451715
MAZ,0.0009246794716697505
SRSF12,0.0009229261293567196
ZNF691,0.0009191769716409715
HDAC6,0.0009179156062907054
TMEM179,0.000913016199896471
FGFR1,0.0009129852767706534
NTN3,0.0009098544482013025
YPEL1,0.0009060270894145178
SEMA6C,0.0009001655784171043
PIP5K1A,0.0008997983144206172
USP37,0.0008969938742576079
ZNF829,0.0008934798650787034
SLC29A4,0.0008872716471025556
GATAD2B,0.0008812658122388692
ALKBH5,0.0008792248408176376
CSRNP2,0.0008766171585548987
CTDSPL2,0.0008725495502963198
RNF228,0.0008710367326553071
ZRANB1,0.0008693406362967488
TAF11,0.0008614628205845166
KCTD2,0.000861419656282959
ZNF417,0.0008564826119352173
RPRD2,0.0008544312291837309
AIRIM,0.0008542286642596122
FIZ1,0.0008525137050088242
ZNF793,0.0008505067597427908
FAM171A2,0.0008469917109833866
ZNF461,0.0008451242479462607
RC3H2,0.0008398042142324266
CCDC167,0.0008319932927489383
ZNF14,0.0008311250565659171
TTC3,0.0008245861753867931
CBX2,0.0008176595476099387
SMIM10L2B,0.0008176229506880658
PPP2R5D,0.0008078200657371563
HLTF,0.0007977146004494018
BCL2L14,0.0007919763489930052
RAB11FIP3,0.0007746091506068768
ZNF569,0.0007740183814774623
PRR3,0.0007731501497786554
ZNF491,0.000768050077543131
MAP1A,0.0007641136355054846
TMEFF2,0.0007630828678316763
DCLK2,0.0007626522712359928
ZMYM3,0.0007599853942963893
PKD1,0.0007585270411494297
ZNF43,0.0007572380300763375
SETD1A,0.0007550398288185577
ZNF711,0.000752216651513433
TADA1,0.0007457321049702225
ZNF580,0.0007441954368301544
ZNF322,0.0007385859838222296
ZNF821,0.0007385055252721839
SALL2,0.0007372086400209241
RAB23,0.0007323984510442681
GJB4,0.0007270393918037093
MSI1,0.0007213087234457641
ZNF471,0.0007206426895432144
MATR3,0.0007123131282696125
MAGED4B,0.0007117777878042478
ZNF2,0.0007116640021997196
ZYG11B,0.0007106128684562556
ZNF567,0.0007030645752761328
ZNF570,0.0006958905933293233
ELF2,0.0006941543911847096
ZNF420,0.000685517746538509
ZNF236,0.0006831955243752636
ZNF415,0.0006809844909303131
GPR27,0.0006788385423068015
TRIM37,0.000678051280455275
TAOK1,0.0006746848978773177
FBXO42,0.0006610892345040803
ZNF517,0.0006591776386661644
CEP97,0.0006519220648103811
CDAN1,0.0006508471213594422
MYL6B,0.0006494602097992047
ZNF568,0.0006393667456173168
KIAA1958,0.0006286750915360602
ZNF287,0.0006275922812408049
KANSL3,0.0006252752686631606
VAMP2,0.0006243088016965097
ZNF17,0.0006222965698245679
TTC28,0.0006217953381308642
ZMYM4,0.0006209294700886414
TRO,0.0006202494399566689
GDF6,0.0006190947524314527
CREBBP,0.0006156898704820354
ADGRB2,0.0006156873870962057
POGZ,0.0006101328476159658
ZNF445,0.0006089847669886964
SPIN1,0.0005986756128779321
HIPK1,0.0005932845597024835
ZKSCAN2,0.0005922618376512487
UBTF,0.0005864922249349784
WNK3,0.000585934969338824
RBBP4,0.0005854880283306444
PLEKHO1,0.000583761806006528
DVL3,0.0005831586946152863
AGO1,0.0005827183098742672
CBX5,0.0005798877518823928
ZNF776,0.0005739607094186439
PCNT,0.0005739472940651683
TMBIM1,0.0005732348171337242
ZFP28,0.000570232035654738
EVL,0.0005690034475244475
POU6F1,0.0005571882315180446
NUMBL,0.0005513860613406439
ZNF625,0.000548448578085417
TUBA1A,0.000544075268343162
MAPK7,0.0005436212214986684
ZNF527,0.0005393855107987276
MEX3A,0.0005391169754356114
CPN1,0.0005380073565505052
ASAP3,0.000536033655329046
ZNF571,0.0005353715980253021
SLC22A17,0.0005287870761536529
NAP1L3,0.0005225579100787698
CRMP1,0.0005026293127508898
MAGED4,0.0004892136627794897
ZNF566,0.0004884973206046378
ZNF529,0.00048220732291960735
SAMD1,0.0004737282640756865
TMEFF1,0.0004720289697175909
TRIM51,0.00044818109997568845
MAGEH1,0.00044059126709410643
