Gene,SHAP_Importance
CLSTN2,0.01552801
ITGA6,0.011293903
ANXA2R,0.009909263
RASL10B,0.009289702
ETV4,0.008659782
SH3TC2,0.007902907
DIP2C,0.0076807705
ANKRD13C,0.006339309
ZFP3,0.0057516876
TAOK2,0.0051585636
SPRY4,0.0050375448
GPR156,0.0046971138
GADD45G,0.0042546904
MED29,0.0041971765
FLYWCH2,0.0038139815
FBXO36,0.0037697682
ZNF821,0.0037574884
ARHGAP44,0.0034636226
ZNF497,0.0033915183
DNAH10OS,0.0033411593
UBFD1,0.0033019641
CASTOR2,0.0032525272
ZNF347,0.0032200909
ZKSCAN2,0.0032146643
SUSD4,0.0031032627
GEMIN2,0.0030884354
OSBPL3,0.002959384
INSYN1,0.0028322032
PHLDA1,0.0027070846
MAP3K2,0.0026471685
KIAA0319,0.0026461754
LHX2,0.0026218304
NXPE3,0.0025839347
TMEM25,0.002530014
ETHE1,0.0024979364
LYSMD1,0.0024526473
DNAJB4,0.002432154
DUSP6,0.0022919967
CCDC167,0.0022628393
UCHL1,0.0022599986
ADCY5,0.002240188
FECH,0.002224423
MYEF2,0.0021343299
NUDT16L1,0.002089108
GDF15,0.0020809958
FMN1,0.0020673743
GSTO1,0.0020667212
NUBP2,0.0020545768
ARID4B,0.0020320986
DLG2,0.0019724297
FRS2,0.0019655684
SYNC,0.0019441635
ADAMTS2,0.0018979567
BLOC1S5,0.0018371517
PTOV1,0.0018029901
DCLK2,0.001774117
ALDH1A3,0.001771232
PYGO2,0.0017667052
EMP1,0.0017486885
ZNF677,0.0017479109
CAPN7,0.0017218833
MGA,0.0017194621
MEX3B,0.0016964581
CCDC127,0.0016697235
QRICH2,0.0016563565
BARD1,0.001656111
FANCC,0.0016437441
RARS2,0.0016391074
ZNF730,0.0015971807
MAP1A,0.0015826136
ASF1A,0.001571015
PLXDC1,0.0015680318
PTPRH,0.0015624096
PCSK1N,0.0015623495
ZNF135,0.0015398451
ZNF680,0.0015359313
HMGA1,0.0015086937
KAT7,0.0015078199
KRBA1,0.0015011624
ATP6V1G2,0.001486447
TMEM170B,0.0014813809
ANKS3,0.0014796285
BEND6,0.0014497963
ZC3H10,0.0014469868
RAB33B,0.0014453518
ZNF93,0.001430878
ZNF500,0.0014020824
TECTA,0.0013952174
NPAS2,0.0013890901
VASN,0.0013832045
INTS3,0.0013687317
ZNF248,0.0013488536
ZMYM4,0.0013465442
RWDD2A,0.0013312799
KCNN4,0.0013109592
GSE1,0.0013033865
WDR24,0.0012871469
GKAP1,0.0012716422
GINM1,0.0012665902
ARHGAP35,0.0012658666
CXCL12,0.0012534659
GNMT,0.0012328592
DNASE1,0.0012189263
CCDC117,0.0012161677
CAND2,0.0012132092
CMTM7,0.0012126808
FXYD5,0.0012035443
CBX2,0.0011878728
TIGD7,0.0011875978
PIP5K1A,0.0011861877
IFT122,0.0011542266
RAP2B,0.001150456
REEP1,0.0011492617
ERCC4,0.0011443567
PCDH1,0.0011411044
SLC37A2,0.0011354358
FAM110B,0.0011332316
NELL2,0.0011304278
SIX5,0.0011105547
RBSN,0.0010992632
ZBTB5,0.0010902165
RHOT1,0.0010890972
ZNF483,0.0010829938
KATNAL2,0.0010771094
ITGA2,0.0010765292
ZNF566,0.0010763435
TTC28,0.0010742894
DMAP1,0.0010681543
ARNT,0.0010619365
ZNF236,0.0010505733
BBOF1,0.001047625
CCDC142,0.0010332535
RHBDL3,0.0010276015
SNAP47,0.0010247588
FOSL1,0.0009783156
CBX1,0.00095889304
COL17A1,0.0009556475
ZSWIM9,0.00093089766
ZNF33A,0.0009276243
TRIM45,0.0009224344
PLEKHG4B,0.00091348495
ZNF444,0.0009100643
FERMT1,0.00090244936
ZNF737,0.00090184493
PALM,0.0008966104
GOLM2,0.00089202437
INPP4B,0.00088550034
SMIM17,0.0008767638
TAB2,0.00087377534
HCFC2,0.00086718786
SAC3D1,0.000855476
MATR3,0.00084864127
ANKRD52,0.0008429591
ZNF48,0.00084245706
TSPYL5,0.00083105953
EML1,0.00082754676
RNF228,0.0008274969
ZNF417,0.0008213074
TAF11,0.0008188578
ZNF736,0.0008178149
SAMD1,0.00080736977
TTC3,0.00080372044
ZNF879,0.00080228085
TMBIM1,0.0007951865
MBP,0.0007886538
ZNF253,0.0007833862
TAOK1,0.0007833216
NBPF12,0.0007828526
AREG,0.0007783898
CEACAM1,0.00077807176
PRSS33,0.0007766698
PRSS3,0.00077149953
SNAPIN,0.0007707091
EIF4ENIF1,0.0007684068
GPR173,0.00076652144
MELTF,0.00076142506
MAPT,0.00076076546
ZNF892,0.0007557622
ZNF14,0.00075493404
ZNF565,0.0007509696
NREP,0.00074803905
MTCL2,0.0007479037
BCL2L14,0.0007431311
CPE,0.0007424244
PIAS3,0.0007416413
HLTF,0.0007371101
ZNF382,0.0007300678
RSPH14,0.00072414405
GTF3C1,0.00071643287
ATP10B,0.0007139278
ARL3,0.00070353854
RIT1,0.00069789187
ZNF708,0.0006948945
ZMYM3,0.00069446274
STXBP4,0.0006936882
ZNF181,0.0006880958
PBX1,0.0006725882
SDC2,0.0006672117
TRIM37,0.0006595658
NFYB,0.00065849605
LMBRD2,0.00064959534
TTC33,0.0006440323
USP13,0.0006435531
EFHD1,0.00064139784
ZNF678,0.000638153
ZNF594,0.000632246
MAPK7,0.00063165464
LSM14A,0.00063125556
ELF2,0.00062093517
ANO1,0.00061694614
CRMP1,0.00061426806
MAPK9,0.00061387056
ZNF570,0.0005989066
GALNT16,0.0005985883
ZNF71,0.000597103
TSPYL4,0.0005957924
SLC26A11,0.0005925022
AIRIM,0.0005857788
THAP3,0.0005844306
HECTD4,0.0005833006
EREG,0.00058026117
PRR3,0.0005799972
SLC35E2B,0.000578071
ZNF273,0.00057772815
DCLRE1B,0.0005709915
SEMA6C,0.0005701288
ASAP3,0.0005675165
VAMP2,0.00056681054
PPOX,0.00056425633
ZNF17,0.00055905257
ZNF610,0.0005564244
ZNF470,0.000555369
IER3,0.0005553391
EPS15L1,0.0005534901
RAB38,0.0005475522
ZFHX2,0.0005474214
DNAAF8,0.0005441484
MAGED4B,0.00054298283
PRCC,0.00054012187
IPO13,0.000536688
DIXDC1,0.00053620664
HSD17B6,0.0005356524
THAP8,0.0005302962
METTL22,0.00052949117
SMAD9,0.0005235739
ZRANB1,0.0005204246
ZNF461,0.0005200399
NCOA1,0.000515731
BRPF3,0.000515622
NSL1,0.00051495444
ZNF625,0.00051488925
RNF115,0.00051331706
DXO,0.0005106546
TTLL7,0.0005083608
GPR137C,0.00050652865
KIF1B,0.0005055225
TBC1D24,0.00050397654
PRUNE1,0.00049324374
SLC22A17,0.00049234316
SAMD11,0.00048210289
FIZ1,0.00048079502
TADA1,0.0004792013
ZNF529,0.0004791492
GSTA4,0.00047634428
KCTD2,0.0004754331
GPR89A,0.00047450652
ZNF580,0.0004738265
RND2,0.00047190447
MAGEH1,0.00046836596
C5orf34,0.00046770685
ZNF844,0.0004667659
TATDN2,0.00045564113
AR,0.0004539447
CDAN1,0.00045225155
S100PBP,0.0004515105
ZNF2,0.00044947004
PIP4K2B,0.00044597025
TSC2,0.00044430917
ZNF415,0.00044051255
TMSB15C,0.00043255798
TCN1,0.00043220093
ZNF517,0.00043051154
CSRNP2,0.0004294121
ZNF711,0.00042828498
ERI3,0.0004165833
ZNF569,0.00041443444
TUBA1A,0.0004099409
RC3H2,0.00040889045
AKAP5,0.00040752935
RUFY3,0.00040749388
ZNF346,0.00040731303
RNF187,0.0004065368
GDF6,0.00040297574
KRBA2,0.00040210597
BRINP1,0.00039818077
FAM168A,0.00039799325
WDR7,0.00039730212
THTPA,0.00039528657
CSTPP1,0.0003908384
TGFB3,0.0003900903
SEC61A2,0.00038857068
NBPF1,0.0003834061
IL1A,0.00038007155
MFAP4,0.00037816027
ZNF184,0.00037808678
STAU2,0.0003762231
SLC12A5,0.00037574803
ZNF260,0.0003726232
NIPAL1,0.00037174782
ZNF354C,0.0003701174
DVL3,0.00036823808
ZNF793,0.0003648716
SETBP1,0.00035984314
ZNF540,0.00035890494
SRSF12,0.0003585211
TBC1D10B,0.00035187427
MAGED4,0.00035069245
GUCY1B1,0.00034799142
